,group_label,stat_label,motion_label,representative_feature
curvature_mean_midbody_abs_IQR,18,IQR,none,False
curvature_mean_midbody_norm_abs_10th,50,10th,none,False
curvature_mean_midbody_norm_abs_50th,30,50th,none,False
curvature_mean_midbody_norm_abs_90th,18,90th,none,False
curvature_mean_midbody_norm_abs_IQR,18,IQR,none,False
curvature_mean_midbody_w_backward_abs_10th,30,10th,backward,False
curvature_mean_midbody_w_backward_abs_50th,30,50th,backward,False
curvature_mean_midbody_w_backward_abs_90th,18,90th,backward,False
curvature_mean_midbody_w_backward_abs_IQR,18,IQR,backward,False
curvature_mean_midbody_w_forward_abs_10th,29,10th,forward,False
curvature_mean_midbody_w_forward_abs_50th,29,50th,forward,False
curvature_mean_midbody_w_forward_abs_90th,18,90th,forward,False
curvature_mean_midbody_w_forward_abs_IQR,18,IQR,forward,False
curvature_mean_midbody_w_paused_abs_10th,30,10th,paused,False
curvature_mean_midbody_w_paused_abs_50th,30,50th,paused,False
curvature_mean_midbody_w_paused_abs_90th,25,90th,paused,False
curvature_mean_midbody_w_paused_abs_IQR,25,IQR,paused,False
curvature_mean_neck_abs_10th,44,10th,none,False
curvature_mean_neck_abs_50th,44,50th,none,False
curvature_mean_neck_abs_90th,62,90th,none,False
curvature_mean_neck_abs_IQR,62,IQR,none,False
curvature_mean_neck_norm_abs_10th,44,10th,none,False
curvature_mean_neck_norm_abs_50th,44,50th,none,True
curvature_mean_neck_norm_abs_90th,62,90th,none,False
curvature_mean_neck_norm_abs_IQR,62,IQR,none,False
curvature_mean_neck_w_backward_abs_10th,57,10th,backward,False
curvature_mean_neck_w_backward_abs_50th,57,50th,backward,False
curvature_mean_neck_w_backward_abs_90th,18,90th,backward,False
curvature_mean_neck_w_backward_abs_IQR,18,IQR,backward,False
curvature_mean_neck_w_forward_abs_10th,57,10th,forward,False
curvature_mean_neck_w_forward_abs_50th,63,50th,forward,False
curvature_mean_neck_w_forward_abs_90th,62,90th,forward,False
curvature_mean_neck_w_forward_abs_IQR,62,IQR,forward,False
curvature_mean_neck_w_paused_abs_10th,35,10th,paused,False
curvature_mean_neck_w_paused_abs_50th,35,50th,paused,False
curvature_mean_neck_w_paused_abs_90th,58,90th,paused,False
curvature_mean_neck_w_paused_abs_IQR,58,IQR,paused,False
curvature_mean_tail_abs_10th,55,10th,none,False
