source_slot,source_well,destination_slot,destination_well,volume
2,E9,11,E9,3
2,F9,11,F9,3
2,G9,11,G9,3
2,H9,11,H9,3
2,A10,11,A11,3
2,B10,11,B11,3
2,C10,11,C11,3
2,D10,11,D11,3
2,E10,11,E11,3
2,F10,11,F11,3
2,G10,11,G11,3
2,H10,11,H11,3
2,A11,11,A6,3
2,B11,11,B6,3
2,C11,11,C6,3
2,D11,11,D6,3
2,E11,11,E6,3
2,F11,11,F6,3
2,G11,11,G6,3
2,H11,11,H6,3
2,A12,11,A4,3
2,B12,11,B4,3
2,C12,11,C4,3
2,D12,11,D4,3
2,E12,11,E4,3
2,F12,11,F4,3
2,G12,11,G4,3
2,H12,11,H4,3
